Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,-1107295228,1487800173,--,--
No,Ch,Hit,Time_H,Time_L,Energy
679,0,0x110121,0,445488000,11179
680,0,0x110121,0,446143360,11190
681,0,0x110121,0,446798720,11184
682,0,0x110121,0,447454080,10211
683,0,0x110121,0,448109440,11278
684,0,0x110121,0,448764800,11426
685,0,0x110121,0,449420160,11565
686,0,0x110121,0,450075520,11666
687,0,0x110121,0,450730880,11751
688,0,0x110121,0,451386240,11832
689,0,0x110121,0,452041600,11879
690,0,0x110121,0,452696960,11846
691,0,0x110121,0,453352320,11895
692,0,0x110121,0,454007680,11191
693,0,0x110121,0,454663040,11195
694,0,0x110121,0,455318400,11176
695,0,0x110121,0,455973760,11187
696,0,0x110121,0,456629120,11195
697,0,0x110121,0,457284480,11192
698,0,0x110121,0,457939840,11193
699,0,0x110121,0,458595200,11193
700,0,0x110121,0,459250560,11189
701,0,0x110121,0,459905920,11190
702,0,0x110121,0,460561280,11182
703,0,0x110121,0,461216640,11185
704,0,0x110121,0,461872000,11186
705,0,0x110121,0,462527360,11184
706,0,0x110121,0,463182720,11190
707,0,0x110121,0,463838080,11189
708,0,0x110121,0,464493440,11184
709,0,0x110121,0,465148800,11187
710,0,0x110121,0,465804160,11188
711,0,0x110121,0,466459520,11200
712,0,0x110121,0,467114880,11181
713,0,0x110121,0,467770240,11597
714,0,0x110121,0,468425600,11849
715,0,0x110121,0,469080960,11882
716,0,0x110121,0,469736320,11194
717,0,0x110121,0,470391680,11189
718,0,0x110121,0,471047040,11185
719,0,0x110121,0,471702400,11192
720,0,0x110121,0,472357760,11189
721,0,0x110121,0,473013120,11203
722,0,0x110121,0,473668480,11189
723,0,0x110121,0,474323840,11203
724,0,0x110121,0,474979200,11191
725,0,0x110121,0,475634560,11193
726,0,0x110121,0,476289920,11201
727,0,0x110121,0,476945280,11181
728,0,0x110121,0,477600640,11184
729,0,0x110121,0,478256000,10165
730,0,0x110121,0,478911360,11188
731,0,0x110121,0,479566720,11195
732,0,0x110121,0,480222080,11184
733,0,0x110121,0,480877440,11184
734,0,0x110121,0,481532800,11440
735,0,0x110121,0,482188160,11189
736,0,0x110121,0,482843520,11191
737,0,0x110121,0,483498880,11190
738,0,0x110121,0,484154240,11185
739,0,0x110121,0,484809600,11594
740,0,0x110121,0,485464960,11185
741,0,0x110121,0,486120320,11193
742,0,0x110121,0,486775680,11187
743,0,0x110121,0,487431040,11674
744,0,0x110121,0,488086400,11193
